id,customer_text,predicted_intent,route,drafted_reply,grounding,human_overall_1_to_5,human_notes
1,"Hey, @AmazonHelp, honestly these mustard-colored Windows 95 buttons are not a good look. The German localization also needs some work. 👍 https://t.co/S4k3gHRiHO",support_process_complaint,escalate,[NO REPLY — ESCALATED],not drafted (escalated),2,Escalates but provides no help for a product/localization complaint.
2,"Wahhh. First my package went missing, then they gave me free one day shipping, only for it to be delayed!! :( I want my things!",delivery_issue,auto_handle,"@226268 I'm so sorry your items were delayed! I understand how frustrating it can be when you were expecting them. Have you contacted the carrier yet to see if they have any insight they could provide? Let us know if you don't get your package, we'd be happy to help!",grounded in 3 past replies (best sim 0.68),4,Relevant apology and asks about carrier; reasonably useful for delayed package.
3,@AmazonHelp I am being charged for a Prime subscription on my account that does not and has never existed. I am being told it is because another account has been using my card to pay their subscription but that is a lie and I have had that confirmed many times over,prime_membership_issue,auto_handle,"@146693 Hi, there can only be one Prime subscription associated with your Amazon account. Is it possible that you have a second account with a different email address that might have Prime or that a family member might signed up to Prime with the same payment card?",grounded in 3 past replies (best sim 0.78),3,"Grounded, but repeats a possibility the customer already disputes and does not address unauthorized charge well."
4,@AmazonHelp Nothing in Messege Center. Nothing in Spam and nothing in trash or spam email files.,support_process_complaint,auto_handle,@295651 Have you checked if the e-mail from Amazon is in your e-mail Spam folder?,grounded in 3 past replies (best sim 0.69),3,"Relevant to missing email, but too narrow because customer already checked spam/trash."
5,"Just received a call from your delivery guy telling me that he will be late,but if someone from Amazon calls then I shd lie n say",delivery_issue,auto_handle,"@240696 I understand how important it is for you to receive this order. Normally, late deliveries show up the following business day. However, it may be a good idea to reach out to the carrier, or you can call us and we can reach out together: https://t.co/hApLpM3Ejd.",grounded in 3 past replies (best sim 0.68),2,Does not address the serious delivery-agent misconduct or request investigation.
6,I don't understand y does Amazon has these fake ads showing up on Instagram. plz do look in to the matter. https://t.co/pMkaKW4BUM,support_process_complaint,escalate,[NO REPLY — ESCALATED],not drafted (escalated),4,Escalation is reasonable for suspected fake advertising; no reply is acceptable under escalation policy.
7,"@AmazonHelp Cust service just says ""will be delivered tomorrow"" FOR 3 DAYS IN A ROW",delivery_issue,auto_handle,"@241388 I'm incredibly sorry you didn't hear back from us, Scott. That shouldn't ever happen. Was this delay also with Amazon Logistics? Have we provided a new delivery date?",grounded in 3 past replies (best sim 0.69),3,"Delivery-related, but reply focuses on contact history and misses the repeated promised dates."
8,"@AmazonHelp Yes, Multiple time. Evey executive tell me to follow different process. I did it as told by them. Still I have to beg for my money.",support_process_complaint,auto_handle,@205681 Do you have more than one Amazon account?,grounded in 3 past replies (best sim 0.64),1,Completely unrelated response about multiple Amazon accounts.
9,@AmazonHelp amazon.fr and I receive a mail from https://t.co/ThEV4GEa62 I can't use my account.,support_process_complaint,auto_handle,"@526003 In this case, request you to add an email address which doesn't have any Amazon account linked with it.",grounded in 3 past replies (best sim 0.81),2,Account-related but likely irrelevant and does not address inability to use account.
10,driver delivered my package to the wrong address.. Is it truly that hard to read? #Goodneighbors,delivery_issue,auto_handle,@533814 So sorry to hear that. Is this involving the package that was delivered to the incorrect address? We'd like to help!,grounded in 3 past replies (best sim 0.66),4,"Relevant and acknowledges wrong-address delivery, though vague."
11,i hate your pick up service plz give solution +91 9016876311 my email __email__,support_process_complaint,auto_handle,@218639 I’m sorry about the issue you’re facing with pick up. Let us look into it. ^HR @218639 Please share your details from the link here: https://t.co/beaaDm0muc to assist you accordingly.,grounded in 3 past replies (best sim 0.65),4,Relevant pickup support response and provides a support path.
12,@AmazonHelp I've contacted my bank as you asked to do so in email but my bank said Amazon need to raise complain,support_process_complaint,auto_handle,@800061 I get your concern. Kindly fill in your details here: https://t.co/beaaDm0muc by skip sign in option from your registered email address associated with Amazon.,grounded in 3 past replies (best sim 0.76),4,"Relevant next step for bank/Amazon issue, though not tailored to the bank's requested complaint."
13,Dear I purchased iPhone 6 amazon basic data cable but now it’s not working I called customer care but couldn’t connect my call please solve my problem,damaged_item_or_product_issue,escalate,[NO REPLY — ESCALATED],not drafted (escalated),4,Escalation is reasonable because product failure plus inability to reach support needs intervention.
14,@AmazonHelp Amazon u really suck’s😤.Flipkart would be a better option to buy things will uninstall amazon,support_process_complaint,auto_handle,"@793621 I'm sorry for the unwanted items! For security reasons, we're unable to take any account action on Twitter. So we can best assist, which Amazon site do you use (.com, .co.uk)?",grounded in 3 past replies (best sim 0.58),1,Unrelated response about unwanted items/account action.
15,@AmazonHelp But I am not doing canllection for the same Your Delivery Guys Wrongly Put Ths Remarks You Penalise him and ask y ths happen ?,delivery_issue,auto_handle,@147129 That's unacceptable. Sorry for the experience with the delivery associate. I've noted your comments and will forward your feedback internally. Every report they receive will be investigated and appropriate action will be taken.,grounded in 3 past replies (best sim 0.68),5,Directly addresses delivery associate misconduct and says feedback will be investigated.
16,I pre-ordered Fire Emblem Warriors for Switch. Due out Friday. When will I receive? Because not clear on website.,delivery_issue,escalate,[NO REPLY — ESCALATED],not drafted (escalated),3,"Escalation avoids inventing an answer, but a delivery estimate could potentially have been handled with tracking guidance."
17,"@AmazonHelp How can I return it-I have nothing to return it in? The box is so wet it is crumbling in my hand! I am not prepared to pay to return it when it wasn’t my fault, but incompetent delivery men!",support_process_complaint,auto_handle,"@271114 If the order was shipped by Amazon and is damaged, you can return it for a refund. If it was shipped by a third-party seller, you'll want to check their return policy or contact them to be sure. You can see who shipped it here: https://t.co/Y5jpI9gRhE",grounded in 3 past replies (best sim 0.68),4,"Useful return guidance for damaged packaging, though it could explicitly address safe return packaging/cost concern."
18,"@AmazonHelp logistics said it was delivered, so if I don't receive it by Monday to call again. I run a business and depend on things being delivered",delivery_issue,auto_handle,"@466088 Great. Amazon logistics delivers up until 9pm daily. Has the order been marked, out for delivery ?",grounded in 3 past replies (best sim 0.73),2,Asks about out-for-delivery despite customer saying logistics marked it delivered; poorly aligned.
19,"plz inform your delivery people that 48D =/= 43D. Also, leaving the order in directly in front of an outward swinging door??",delivery_issue,escalate,[NO REPLY — ESCALATED],not drafted (escalated),4,Escalation is reasonable for unsafe/wrong delivery placement; no reply is acceptable.
20,@AmazonHelp Note that your system showing my order as delivered. No. Not yet. 😡,delivery_issue,auto_handle,@804131 Have you checked the current status of the order by logging into your Amazon account? You can see that information here: https://t.co/Y5jpI9gRhE,grounded in 3 past replies (best sim 0.75),3,Provides order-status guidance but does not address the marked-delivered/not-received problem directly.
21,@AmazonHelp Every single day. I have Apple TV upstairs and other side of the house that doesn’t have problems like this.,support_process_complaint,auto_handle,@669974 I'm sorry to hear you're having issues with your Amazon Video. Is it skipping and freezing up on any other device or just on the Android TV?,grounded in 3 past replies (best sim 0.57),2,Wrong device/context and assumes Amazon Video; likely unrelated.
22,@AmazonHelp Bit difficult when she doesn't even have an account. I'd like to know how you got her name and address. Have you breached the data protection act?,support_process_complaint,auto_handle,"@526003 In this case, request you to add an email address which doesn't have any Amazon account linked with it.",grounded in 3 past replies (best sim 0.72),1,Completely fails to address privacy/data-protection concern.
23,"Why do you change the status of order to Delivered even before it reaches the customer? 3 days have passed, but no delivery yet",delivery_issue,auto_handle,"@635748 I'm sorry that your parcel didn't make it to you on time. There are a number of reasons why a delivery might be delayed. Events such as bad weather, natural disasters, vehicle accidents, item availability, and carrier capacity may be the cause.",grounded in 3 past replies (best sim 0.71),3,Relevant explanation for delays but does not address why it was marked delivered or the missing package.
24,soooo why exactly did the amazon delivery guy make my grandpa take a photo of himself receiving my package. um.,delivery_issue,auto_handle,@180777 Capturing delivery photos is intended to help you see that your package was safely delivered and where. You can find more details here: https://t.co/A5IaVjRn3a,grounded in 2 past replies (best sim 0.57),5,Directly and clearly answers why delivery photos are taken.
25,"customer service is terrible. Told us were paying for 8x of something, sent 1, said we'll fix it, send 1 again, refusing to fix now",support_process_complaint,auto_handle,@531312 Apologies for the poor experience. Complaints are handled by customer services. Please reach out - https://t.co/JzP7hlA23B,grounded in 3 past replies (best sim 0.62),2,Generic support link and does not address missing quantity/refusal to fix.
26,"@AmazonHelp I knew you will not be able to, as you are a fraud company. You have all details, there are around 30 mail exchanges and several live chats, request you to check and get back to me. I again openly say Amazon sells fake products and it is intentional and not an isolated incident.",support_process_complaint,escalate,[NO REPLY — ESCALATED],not drafted (escalated),4,Escalation is reasonable for repeated counterfeit-product allegations; no reply avoids unsupported claims.
27,@AmazonHelp They were then charged again yesterday as part of the £85.13 https://t.co/TBpwWnyTMZ,support_process_complaint,auto_handle,@206646 Were the charges made on Amazon.es or https://t.co/ykTUEmdsQA?,grounded in 3 past replies (best sim 0.72),2,Likely irrelevant marketplace question; fails to address repeat charge.
28,"@AmazonHelp Already talked to the customer service, NO HELP!",support_process_complaint,auto_handle,"@375966 Thanks for reaching out! When you have the time, please contact our AmazonSmile Support team here: https://t.co/8J2Xg4zvTd",grounded in 3 past replies (best sim 0.82),1,AmazonSmile support is unrelated to the customer's complaint.
29,"can someone please explain why 3 amazon prime packages have been lost by amazon logistics, the same facility, in a weeks time and now i have to wait 2 more days for them to locate the package and redelivery. 2 day shipping has turned into 4 day shipping. Wtf",delivery_issue,auto_handle,"@261475 Hi there! Amazon Prime two-day shipping refers to days in transit to you, not processing days. Have we missed a current orders delivery date?",grounded in 3 past replies (best sim 0.71),3,Recognizes missed delivery but gives generic Prime explanation rather than addressing repeated lost packages.
30,@AmazonHelp I've ordered wolfenstein 2 at amazon.de. After I unboxed it I did find out that it's only in german language. So I opened the seal. Is there anyway I can send it back and ask for a refund? Because it wasn't described in the description?,support_process_complaint,escalate,[NO REPLY — ESCALATED],not drafted (escalated),4,Escalation is reasonable for refund/description mismatch after opening the product.
31,@AmazonHelp you afraid and I'm frustrated let me know jeff's foundation details i'll donate remaining gift card.. really pathetic.,support_process_complaint,auto_handle,"@403419 Apologies for the unpleasant experience regarding the gift card. Please drop in your details 1/3 ^SB @403419 here: https://t.co/GIJyeYqKE0. We'll look into it. Also, Please don’t provide your account details as 2/3 ^SB @403419 we consider them to be personal information. Our Twitter page is visible to public.",grounded in 3 past replies (best sim 0.64),4,Relevant gift-card support and privacy warning; somewhat overlong/template-like.
32,sucks Promisd 24 hr delivry hasn't delivered. Cust Servce promisd delivery by 8 2night now say 24 hrs more. This 3rd time it happnd,delivery_issue,auto_handle,"@206708 Ideally we deliver on time, in case if there are any unforeseen factors affecting the delivery, there might be [1/3] ^HA @206708 a delay and delivery attempt may be done till 8pm. In case if it's not delivered to you before you leave, [2/3] ^HA @206708 you may request a reschedule by contacting us from here: https://t.co/vlvfJr4nN9. [3/3]",grounded in 3 past replies (best sim 0.62),4,Relevant delayed-delivery response with a concrete reschedule path.
33,@AmazonHelp Nope! for the last 4 days I have reached out and got told it'll come tomorrow.. tomorrow is now here and still nothing! it's ridiculous,delivery_issue,auto_handle,@580474 I'm sorry to hear about the possible delay. Unfortunately I don't have access to your Amazon Account through Twitter. Did you receive an email update about this? What does your current tracking say: https://t.co/aaDyEz1VgE,grounded in 3 past replies (best sim 0.70),4,Relevant and asks for tracking/email update; useful next step.
34,"@AmazonHelp I typed the wrong shipping address and notice it right after I received the shipping notice. I phone them and they told me that, even when the package hasn't reach the carrier facility they were unnable to make the change",delivery_issue,auto_handle,@503611 You will not be able to change the shipping address on the order after it ships. What carrier is delivering the package?,grounded in 3 past replies (best sim 0.77),5,Directly addresses post-shipment address changes and asks about carrier.
35,can you block things on the kids kindle so they cannot get to things on the internet? ##thanks!,other,escalate,[NO REPLY — ESCALATED],not drafted (escalated),4,Escalation is reasonable because the intent is outside the taxonomy; no unsupported advice.
36,@AmazonHelp i got locked out of my account never recieved my items customer service rep. was super rude &amp; cant cancel my prime supscription because....my account is still locked,support_process_complaint,auto_handle,"@692194 Hey Lina, is your Amazon account currently locked? Did you receive an email from our Account Specialist team?",grounded in 3 past replies (best sim 0.73),3,Recognizes account lock but misses the linked missing-items/Prime cancellation issues.
